Unnamed: 0,time,carrera,acepta,positivo,negativo,edad,sexo,trabajo
125,19/11/2020,Lingüística e Idiomas,Si,Horario flexible.,Conexión a internet.,54,Mujer,Sí
73,10/11/2020,Lingüística e Idiomas,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",50,Hombre,Sí
95,11/11/2020,Derecho,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,49,Hombre,Sí
153,22/11/2020,Comercio Internacional,Si,Horario flexible.,Conexión a internet.,47,Mujer,Sí
27,09/11/2020,Ciencias de la Educación,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,46,Hombre,Sí
38,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,45,Hombre,Sí
63,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,45,Hombre,Sí
128,20/11/2020,Psicología,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,45,Hombre,Sí
176,26/11/2020,Ciencias Políticas,Si,Acceso desde cualquier lugar.,Conexión a internet.,43,Hombre,Sí
175,26/11/2020,Ciencias Políticas,Si,Acceso desde cualquier lugar.,Conexión a internet.,43,Hombre,Sí
79,10/11/2020,Derecho,Si,Horario flexible.,Conexión a internet.,42,Hombre,Sí
121,19/11/2020,Contaduría Pública,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,41,Hombre,Sí
80,10/11/2020,Derecho,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,40,Mujer,Sí
101,13/11/2020,Contaduría Pública,Si,Autonomía.,Contacto Personal Docente-Estudiantil.,40,Hombre,No
111,14/11/2020,Derecho,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,40,Hombre,Sí
123,19/11/2020,Psicología,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,40,Mujer,Sí
170,24/11/2020,Artes Plásticas,Si,Autonomía.,Contacto Personal Docente-Estudiantil.,40,Hombre,Sí
164,23/11/2020,Derecho,Si,Horario flexible.,Conexión a internet.,40,Hombre,Sí
209,08/12/2020,Ingeniería de Sistemas,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",40,Hombre,Sí
220,08/12/2020,Psicología,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,40,Mujer,Eventual
202,08/12/2020,Ingeniería de Sistemas,Si,Autonomía.,Contacto Personal Docente-Estudiantil.,40,Hombre,Sí
200,06/12/2020,Economía,Si,Autonomía.,"Falta de recursos de calidad(plataformas, docentes).",40,Hombre,Sí
43,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,39,Hombre,Sí
4,08/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,39,Hombre,Sí
89,10/11/2020,Derecho,Si,Horario flexible.,Conexión a internet.,38,Mujer,Eventual
118,18/11/2020,Ingeniería Agronómica,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,38,Mujer,Sí
88,10/11/2020,Derecho,Si,Horario flexible.,Conexión a internet.,38,Mujer,Eventual
90,10/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,38,Hombre,Sí
87,10/11/2020,Derecho,Si,Horario flexible.,Conexión a internet.,38,Mujer,Eventual
72,10/11/2020,Comercio Internacional,Si,Acceso desde cualquier lugar.,Conexión a internet.,38,Mujer,Sí
162,23/11/2020,Educación Parvularia,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,37,Hombre,Sí
94,11/11/2020,Derecho,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,37,Mujer,Eventual
156,22/11/2020,Psicología,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",37,Mujer,Sí
218,08/12/2020,Lingüística e Idiomas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,37,Mujer,Sí
174,26/11/2020,Derecho,Si,Acceso desde cualquier lugar.,Conexión a internet.,36,Mujer,Eventual
134,20/11/2020,Derecho,Si,Horario flexible.,Conexión a internet.,36,Hombre,Sí
30,09/11/2020,Contaduría Pública,Si,Horario flexible.,Conexión a internet.,36,Hombre,Sí
173,26/11/2020,Derecho,Si,Acceso desde cualquier lugar.,Conexión a internet.,36,Mujer,Eventual
163,23/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,35,Hombre,Sí
133,20/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,35,Hombre,Eventual
184,27/11/2020,Nutrición y Dietética,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,35,Mujer,Sí
83,10/11/2020,Contaduría Pública,Si,Horario flexible.,Conexión a internet.,35,Hombre,Sí
57,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",35,Hombre,Sí
24,09/11/2020,Lingüística e Idiomas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,35,Hombre,Sí
224,08/12/2020,Derecho,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",34,Hombre,Sí
211,08/12/2020,Contaduría Pública,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,34,Hombre,Sí
25,09/11/2020,Derecho,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,34,Mujer,Sí
26,09/11/2020,Derecho,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,34,Mujer,Sí
48,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,33,Hombre,Eventual
50,09/11/2020,Ciencias Físicas y Energías Alternativas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,33,Hombre,Sí
223,08/12/2020,Ingeniería Agronómica,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",33,Hombre,Sí
219,08/12/2020,Contaduría Pública,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",33,Mujer,Sí
61,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,33,Hombre,Sí
197,29/11/2020,Ciencias de la Educación,Si,Autonomía.,Conexión a internet.,33,Hombre,Sí
32,09/11/2020,Derecho,Si,Horario flexible.,Conexión a internet.,33,Mujer,Sí
92,10/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,33,Hombre,Sí
86,10/11/2020,Psicología,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",33,Mujer,Sí
56,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,33,Hombre,Sí
91,10/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,33,Hombre,Sí
71,10/11/2020,Derecho,Si,Acceso desde cualquier lugar.,Conexión a internet.,33,Hombre,Sí
20,09/11/2020,Derecho,Si,Acceso desde cualquier lugar.,Conexión a internet.,32,Mujer,Sí
69,10/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Conexión a internet.,32,Hombre,Sí
166,24/11/2020,Psicología,Si,Horario flexible.,Conexión a internet.,32,Mujer,Sí
167,24/11/2020,Psicología,Si,Horario flexible.,Conexión a internet.,32,Mujer,Sí
107,14/11/2020,Derecho,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",32,Mujer,No
10,08/11/2020,Psicología,Si,Horario flexible.,Conexión a internet.,32,Hombre,Eventual
191,27/11/2020,Administración de Empresas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,32,Mujer,Sí
165,24/11/2020,Psicología,Si,Acceso desde cualquier lugar.,Conexión a internet.,32,Mujer,Sí
77,10/11/2020,Ciencias de la Educación,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,31,Mujer,Sí
108,14/11/2020,Otra,Si,Horario flexible.,Conexión a internet.,31,Hombre,Sí
126,19/11/2020,Derecho,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,31,Mujer,Sí
141,22/11/2020,Derecho,Si,Autonomía.,Conexión a internet.,31,Mujer,Sí
93,11/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,30,Hombre,Sí
103,13/11/2020,Historia,Si,Acceso desde cualquier lugar.,Conexión a internet.,30,Mujer,Eventual
102,13/11/2020,Psicología,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,30,Mujer,Sí
22,09/11/2020,Trabajo Social,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,30,Mujer,Sí
68,09/11/2020,Otra,Si,Autonomía.,Conexión a internet.,30,Hombre,Sí
31,09/11/2020,Lingüística e Idiomas,Si,Autonomía.,Conexión a internet.,30,Hombre,Sí
151,22/11/2020,Otra,Si,Horario flexible.,Conexión a internet.,30,Hombre,Sí
187,27/11/2020,Derecho,Si,Acceso desde cualquier lugar.,Conexión a internet.,30,Hombre,Sí
195,28/11/2020,Otra,Si,Horario flexible.,Conexión a internet.,30,Hombre,Sí
190,27/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,30,Mujer,Sí
179,27/11/2020,Derecho,Si,Horario flexible.,Conexión a internet.,30,Hombre,Eventual
183,27/11/2020,Ciencias de la Educación,Si,Acceso desde cualquier lugar.,Conexión a internet.,30,Mujer,Sí
207,08/12/2020,Artes Plásticas,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",30,Hombre,Sí
229,10/12/2020,Trabajo Social,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,30,Mujer,Sí
139,22/11/2020,Ciencias Físicas y Energías Alternativas,Si,Autonomía.,Conexión a internet.,30,Hombre,Sí
161,23/11/2020,Ciencias de la Educación,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,30,Hombre,Sí
140,22/11/2020,Educación Parvularia,Si,Horario flexible.,Conexión a internet.,30,Mujer,Sí
42,09/11/2020,Otra,Si,Autonomía.,Conexión a internet.,30,Hombre,Eventual
47,09/11/2020,Psicología,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",30,Mujer,Sí
160,23/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",30,Mujer,Sí
120,19/11/2020,Ciencias Políticas,Si,Horario flexible.,Conexión a internet.,30,Mujer,Eventual
116,17/11/2020,Ciencias Físicas y Energías Alternativas,Si,Horario flexible.,Conexión a internet.,30,Mujer,Eventual
129,20/11/2020,Educación Parvularia,Si,Horario flexible.,Conexión a internet.,30,Mujer,Sí
105,13/11/2020,Otra,Si,Acceso desde cualquier lugar.,Conexión a internet.,29,Mujer,Sí
46,09/11/2020,Gestión Turística y Hotelera,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,29,Hombre,Sí
29,09/11/2020,Administración de Empresas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,29,Hombre,Sí
106,14/11/2020,Administración de Empresas,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",29,Hombre,Sí
159,23/11/2020,Contaduría Pública,Si,Acceso desde cualquier lugar.,Conexión a internet.,29,Mujer,Sí
217,08/12/2020,Comercio Internacional,Si,Acceso desde cualquier lugar.,Conexión a internet.,29,Hombre,Sí
104,13/11/2020,Nutrición y Dietética,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,28,Hombre,Sí
155,22/11/2020,Otra,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,28,Hombre,Sí
194,27/11/2020,Otra,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",28,Mujer,Sí
203,08/12/2020,Derecho,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",28,Hombre,Sí
131,20/11/2020,Sociología,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,28,Hombre,Sí
19,08/11/2020,Derecho,Si,Acceso desde cualquier lugar.,Conexión a internet.,28,Mujer,Eventual
70,10/11/2020,Derecho,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,28,Hombre,Sí
59,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Conexión a internet.,27,Hombre,Sí
82,10/11/2020,Derecho,Si,Acceso desde cualquier lugar.,Conexión a internet.,27,Mujer,Sí
216,08/12/2020,Otra,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,27,Mujer,Eventual
130,20/11/2020,Contaduría Pública,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",27,Mujer,Eventual
114,15/11/2020,Administración de Empresas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,27,Mujer,Sí
180,27/11/2020,Otra,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",27,Hombre,Sí
150,22/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",26,Hombre,Eventual
182,27/11/2020,Ingeniería Agronómica,Si,Acceso desde cualquier lugar.,Conexión a internet.,26,Mujer,Eventual
144,22/11/2020,Ciencias Físicas y Energías Alternativas,Si,Acceso desde cualquier lugar.,Conexión a internet.,26,Hombre,Eventual
169,24/11/2020,Otra,Si,Horario flexible.,Conexión a internet.,26,Mujer,Sí
226,09/12/2020,Ciencias de la Educación,Si,Autonomía.,"Falta de recursos de calidad(plataformas, docentes).",26,Hombre,Eventual
54,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,26,Hombre,Sí
64,09/11/2020,Ingeniería de Sistemas,Si,Autonomía.,Conexión a internet.,26,Hombre,Eventual
1,08/11/2020,Psicología,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,26,Hombre,Eventual
192,27/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",26,Mujer,Sí
168,24/11/2020,Ciencias Físicas y Energías Alternativas,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",25,Hombre,Eventual
188,27/11/2020,Lingüística e Idiomas,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",25,Mujer,Sí
196,28/11/2020,Ciencias Físicas y Energías Alternativas,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",25,Mujer,Eventual
100,13/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",25,Hombre,Sí
127,20/11/2020,Trabajo Social,Si,Acceso desde cualquier lugar.,Conexión a internet.,25,Mujer,Sí
5,08/11/2020,Ciencias de la Educación,Si,Acceso desde cualquier lugar.,Conexión a internet.,25,Mujer,Sí
9,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Conexión a internet.,25,Hombre,Sí
12,08/11/2020,Ciencias Físicas y Energías Alternativas,Si,Horario flexible.,Conexión a internet.,25,Hombre,Sí
74,10/11/2020,Derecho,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",25,Hombre,Sí
65,09/11/2020,Contaduría Pública,Si,Acceso desde cualquier lugar.,Conexión a internet.,25,Mujer,Sí
36,09/11/2020,Derecho,No,Autonomía.,Contacto Personal Docente-Estudiantil.,25,Hombre,No
232,11/12/2020,Gestión Turística y Hotelera,No,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",25,Hombre,Sí
214,08/12/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,25,Mujer,Sí
172,26/11/2020,Gestión Turística y Hotelera,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",25,Hombre,Sí
178,27/11/2020,Economía,Si,Autonomía.,Contacto Personal Docente-Estudiantil.,25,Mujer,Sí
117,18/11/2020,Otra,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,25,Mujer,Sí
115,17/11/2020,Derecho,Si,Autonomía.,Contacto Personal Docente-Estudiantil.,25,Hombre,Eventual
34,09/11/2020,Economía,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,24,Mujer,Sí
18,08/11/2020,Administración de Empresas,Si,Horario flexible.,Conexión a internet.,24,Hombre,Eventual
110,14/11/2020,Otra,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,24,Hombre,Sí
112,14/11/2020,Trabajo Social,Si,Acceso desde cualquier lugar.,Conexión a internet.,24,Mujer,Sí
206,08/12/2020,Contaduría Pública,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",24,Mujer,Sí
142,22/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Conexión a internet.,24,Hombre,Sí
186,27/11/2020,Lingüística e Idiomas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,24,Mujer,Eventual
33,09/11/2020,Economía,Si,Horario flexible.,Conexión a internet.,24,Mujer,Eventual
143,22/11/2020,Otra,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",23,Hombre,Sí
177,27/11/2020,Ciencias de la Educación,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",23,Mujer,Sí
213,08/12/2020,Comercio Internacional,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,23,Mujer,Sí
204,08/12/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,23,Hombre,Eventual
234,12/12/2020,Comercio Internacional,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",23,Hombre,Sí
222,08/12/2020,Ingeniería Agronómica,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,23,Hombre,Sí
212,08/12/2020,Trabajo Social,Si,Acceso desde cualquier lugar.,Conexión a internet.,23,Mujer,Sí
62,09/11/2020,Ingeniería Agronómica,Si,Horario flexible.,Conexión a internet.,23,Mujer,No
39,09/11/2020,Otra,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,23,Mujer,Sí
231,11/12/2020,Ingeniería de Sistemas,No,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",23,Mujer,No
201,07/12/2020,Otra,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,23,Mujer,No
198,30/11/2020,Derecho,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",22,Hombre,Eventual
210,08/12/2020,Comercio Internacional,No,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,22,Hombre,Eventual
76,10/11/2020,Trabajo Social,Si,Autonomía.,Contacto Personal Docente-Estudiantil.,22,Mujer,Sí
14,08/11/2020,Contaduría Pública,Si,Horario flexible.,Conexión a internet.,22,Mujer,Sí
185,27/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,22,Mujer,Eventual
135,22/11/2020,Administración de Empresas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,22,Mujer,Sí
147,22/11/2020,Otra,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",22,Mujer,Eventual
58,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,22,Mujer,Sí
44,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,22,Hombre,Eventual
136,22/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,21,Hombre,Sí
208,08/12/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,21,Hombre,Sí
171,25/11/2020,Gestión Turística y Hotelera,No,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",21,Hombre,Eventual
228,09/12/2020,Psicología,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,21,Mujer,No
113,15/11/2020,Administración de Empresas,Si,Autonomía.,Conexión a internet.,21,Hombre,Sí
124,19/11/2020,Otra,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,21,Hombre,Eventual
81,10/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",21,Hombre,No
132,20/11/2020,Ingeniería de Sistemas,No,Horario flexible.,Conexión a internet.,21,Hombre,Sí
67,09/11/2020,Derecho,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,21,Hombre,Sí
55,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,21,Hombre,Eventual
99,13/11/2020,Otra,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",21,Hombre,Sí
11,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,21,Hombre,Eventual
49,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,21,Hombre,Sí
2,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",20,Mujer,Sí
23,09/11/2020,Artes Plásticas,Si,Horario flexible.,Conexión a internet.,20,Hombre,Eventual
0,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,20,Hombre,Eventual
122,19/11/2020,Contaduría Pública,Si,Acceso desde cualquier lugar.,Conexión a internet.,20,Mujer,Eventual
8,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,20,Hombre,Sí
51,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,20,Mujer,No
21,09/11/2020,Historia,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,20,Hombre,Eventual
7,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,20,Hombre,Sí
60,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,20,Hombre,No
233,11/12/2020,Ingeniería Agronómica,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,20,Mujer,Sí
227,09/12/2020,Comercio Internacional,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",20,Mujer,Sí
221,08/12/2020,Trabajo Social,No,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",20,Mujer,Sí
181,27/11/2020,Derecho,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",20,Hombre,Sí
189,27/11/2020,Ciencias de la Educación,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,20,Mujer,No
157,22/11/2020,Ciencias de la Educación,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",20,Mujer,No
158,22/11/2020,Otra,No,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",20,Mujer,No
154,22/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",20,Hombre,Eventual
146,22/11/2020,Ingeniería de Sistemas,Si,Autonomía.,Contacto Personal Docente-Estudiantil.,20,Mujer,Sí
119,19/11/2020,Ciencias de la Educación,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,20,Hombre,Sí
152,22/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,20,Hombre,Sí
52,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,19,Hombre,Eventual
17,08/11/2020,Ciencias de la Educación,No,Acceso desde cualquier lugar.,Conexión a internet.,19,Mujer,No
16,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Conexión a internet.,19,Mujer,Sí
78,10/11/2020,Otra,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",19,Mujer,Sí
41,09/11/2020,Otra,No,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",19,Hombre,Eventual
199,30/11/2020,Otra,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,19,Hombre,Eventual
205,08/12/2020,Otra,Si,Acceso desde cualquier lugar.,Conexión a internet.,19,Mujer,Eventual
215,08/12/2020,Lingüística e Idiomas,Si,Horario flexible.,Conexión a internet.,19,Hombre,Eventual
193,27/11/2020,Administración de Empresas,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",19,Mujer,Sí
230,10/12/2020,Gestión Turística y Hotelera,Si,Horario flexible.,Conexión a internet.,19,Mujer,Sí
145,22/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Conexión a internet.,19,Mujer,Sí
137,22/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",19,Hombre,Sí
3,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Conexión a internet.,18,Mujer,No
6,08/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",18,Hombre,Eventual
148,22/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",18,Mujer,Eventual
138,22/11/2020,Ciencias Físicas y Energías Alternativas,Si,Acceso desde cualquier lugar.,Conexión a internet.,18,Hombre,Eventual
98,13/11/2020,Otra,Si,Horario flexible.,Conexión a internet.,18,Hombre,No
96,13/11/2020,Ciencias de la Educación,Si,Acceso desde cualquier lugar.,Conexión a internet.,17,Mujer,No
84,10/11/2020,Otra,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,17,Mujer,Sí
85,10/11/2020,Trabajo Social,Si,Horario flexible.,Conexión a internet.,17,Mujer,Sí
109,14/11/2020,Contaduría Pública,Si,Horario flexible.,Conexión a internet.,17,Hombre,Sí
